transaction_id,client_id,marchand_id,date_heure,jour_semaine,heure_jour,montant_dzd,devise,type_transaction,categorie_marchand,localisation,pays,wilaya_client,canal_paiement,statut,fraude,raison_fraude,montant_anormal_score,heure_inhabituelle,localisation_etrangere,categorie_risquee,ratio_montant_revenu,revenu_client,anciennete_client_jours
TXN_0000010,CLIENT_00080,MARCH_0064,2023-05-15 13:18:00,Monday,13,6293.01,DZD,PAIEMENT_EN_LIGNE,ESSENCE,Constantine,Algérie,Constantine,CARTE_PHYSIQUE,REUSSIE,0,NON,0.724,0,0,0,0.1724,36504.13,2336
TXN_0000011,CLIENT_00629,MARCH_0136,2023-06-05 17:12:00,Monday,17,10037.98,DZD,RETRAIT_DAB,RESTAURANT,Blida,Algérie,Blida,MOBILE_BANKING,REUSSIE,0,NON,2.197,0,0,0,0.3197,31396.82,827
TXN_0000012,CLIENT_00175,MARCH_0168,2023-11-02 08:21:00,Thursday,8,10434.35,DZD,PAIEMENT_FACTURE,IMMOBILIER,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,0.094,0,0,1,0.1094,95394.28,3598
TXN_0000013,CLIENT_00042,MARCH_0007,2023-02-08 12:39:00,Wednesday,12,3652.03,DZD,PAIEMENT_FACTURE,RESTAURANT,Alger,Algérie,Alger,INTERNET_BANKING,REUSSIE,0,NON,0.49,0,0,0,0.051,71576.05,41
TXN_0000014,CLIENT_00215,MARCH_0196,2023-05-10 14:16:00,Wednesday,14,5039.14,DZD,RETRAIT_DAB,IMMOBILIER,Béjaïa,Algérie,Béjaïa,CARTE_PHYSIQUE,REUSSIE,0,NON,1.29,0,0,1,0.229,22004.78,1857
TXN_0000015,CLIENT_00558,MARCH_0074,2023-08-24 13:16:00,Thursday,13,12296.27,DZD,ACHAT_CARTE,IMMOBILIER,Sétif,Algérie,Sétif,CARTE_PHYSIQUE,REUSSIE,0,NON,2.449,0,0,1,0.3449,35655.93,1851
TXN_0000016,CLIENT_00415,MARCH_0076,2023-09-23 19:32:00,Saturday,19,6611.42,DZD,RETRAIT_DAB,RESTAURANT,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,1.052,0,0,0,0.2052,32226.77,221
TXN_0000017,CLIENT_00475,MARCH_0052,2023-06-14 09:36:00,Wednesday,9,9666.31,DZD,ACHAT_CARTE,HABILLEMENT,Mostaganem,Algérie,Mostaganem,DAB,REUSSIE,0,NON,2.193,0,0,0,0.3193,30277.83,1463
TXN_0000018,CLIENT_00881,MARCH_0088,2023-03-01 17:34:00,Wednesday,17,11042.48,DZD,ACHAT_CARTE,VOYAGE,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,0.342,0,0,1,0.1342,82295.75,574
TXN_0000019,CLIENT_00326,MARCH_0061,2023-02-02 18:43:00,Thursday,18,14384.04,DZD,ACHAT_CARTE,SUPERMARCHE,Oran,Algérie,Oran,CARTE_PHYSIQUE,REUSSIE,0,NON,0.561,0,0,0,0.1561,92156.43,245
TXN_0000020,CLIENT_00968,MARCH_0098,2023-07-23 15:48:00,Sunday,15,9072.23,DZD,ACHAT_CARTE,HABILLEMENT,Constantine,Algérie,Constantine,AGENCE,REUSSIE,0,NON,0.951,0,0,0,0.1951,46501.28,3373
TXN_0000021,CLIENT_00833,MARCH_0083,2023-06-01 10:26:00,Thursday,10,29807.62,DZD,VIREMENT,ESSENCE,Oran,Algérie,Oran,CARTE_PHYSIQUE,REUSSIE,0,NON,2.061,0,0,0,0.3061,97378.73,1892
TXN_0000022,CLIENT_00527,MARCH_0119,2023-09-13 15:08:00,Wednesday,15,8539.2,DZD,ACHAT_CARTE,HABILLEMENT,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,0.653,0,0,0,0.1653,51650.69,1128
TXN_0000023,CLIENT_00517,MARCH_0117,2023-10-11 09:12:00,Wednesday,9,5792.57,DZD,ACHAT_CARTE,HABILLEMENT,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,1.741,0,0,0,0.2741,21136.26,177
TXN_0000024,CLIENT_00506,MARCH_0152,2023-10-18 08:01:00,Wednesday,8,5777.82,DZD,RETRAIT_DAB,PHARMACIE,Alger,Algérie,Alger,MOBILE_BANKING,REUSSIE,0,NON,0.104,0,0,0,0.0896,64518.34,1755
TXN_0000025,CLIENT_00867,MARCH_0027,2023-11-16 19:04:00,Thursday,19,9516.9,DZD,PAIEMENT_FACTURE,PHARMACIE,Oran,Algérie,Oran,INTERNET_BANKING,REUSSIE,0,NON,0.162,0,0,0,0.1162,81930.16,2544
TXN_0000026,CLIENT_00374,MARCH_0011,2023-06-24 18:53:00,Saturday,18,10133.93,DZD,RETRAIT_DAB,ELECTRONIQUE,Oran,Algérie,Oran,CARTE_PHYSIQUE,REUSSIE,0,NON,2.132,0,0,1,0.3132,32352.81,98
TXN_0000027,CLIENT_00075,MARCH_0098,2023-10-11 11:24:00,Wednesday,11,14239.91,DZD,VIREMENT,HABILLEMENT,Oran,Algérie,Oran,CARTE_PHYSIQUE,ECHOUEE,0,NON,0.124,0,0,0,0.1124,126719.56,2672
TXN_0000028,CLIENT_00696,MARCH_0156,2023-02-16 14:30:00,Thursday,14,10927.93,DZD,PAIEMENT_EN_LIGNE,SUPERMARCHE,Annaba,Algérie,Annaba,CARTE_PHYSIQUE,REUSSIE,0,NON,1.255,0,0,0,0.2255,48456.12,1556
TXN_0000029,CLIENT_00347,MARCH_0142,2023-08-23 16:12:00,Wednesday,16,8095.71,DZD,VIREMENT,SUPERMARCHE,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,1.048,0,0,0,0.2048,39526.73,39
TXN_0000030,CLIENT_00512,MARCH_0010,2023-02-16 10:53:00,Thursday,10,1640.7,DZD,ACHAT_CARTE,HABILLEMENT,Blida,Algérie,Blida,CARTE_PHYSIQUE,REUSSIE,0,NON,0.578,0,0,0,0.1578,10398.6,2199
TXN_0000031,CLIENT_00467,MARCH_0038,2023-07-11 11:41:00,Tuesday,11,6628.83,DZD,RETRAIT_DAB,PHARMACIE,Annaba,Algérie,Annaba,CARTE_PHYSIQUE,REUSSIE,0,NON,2.205,0,0,0,0.3205,20681.73,3394
TXN_0000032,CLIENT_00166,MARCH_0100,2023-04-26 18:18:00,Wednesday,18,12897.16,DZD,VIREMENT,VOYAGE,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,1.45,0,0,1,0.245,52646.27,1112
TXN_0000033,CLIENT_00848,MARCH_0130,2023-10-06 21:52:00,Friday,21,4171.16,DZD,VIREMENT,HABILLEMENT,Blida,Algérie,Blida,CARTE_PHYSIQUE,REUSSIE,0,NON,0.739,0,0,0,0.1739,23992.41,2936
TXN_0000034,CLIENT_00377,MARCH_0084,2023-07-05 15:51:00,Wednesday,15,8383.92,DZD,PAIEMENT_EN_LIGNE,HABILLEMENT,Oran,Algérie,Oran,MOBILE_BANKING,REUSSIE,0,NON,0.117,0,0,0,0.1117,75053.07,2707
TXN_0000035,CLIENT_00742,MARCH_0176,2023-04-30 14:00:00,Sunday,14,8206.41,DZD,RETRAIT_DAB,PHARMACIE,Oran,Algérie,Oran,CARTE_PHYSIQUE,REUSSIE,0,NON,0.831,0,0,0,0.1831,44808.4,2130
TXN_0000036,CLIENT_00995,MARCH_0198,2023-08-09 10:43:00,Wednesday,10,7969.59,DZD,ACHAT_CARTE,RESTAURANT,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,0.809,0,0,0,0.1809,44067.2,1740
TXN_0000037,CLIENT_00536,MARCH_0161,2023-04-20 10:13:00,Thursday,10,25481.19,DZD,VIREMENT,VOYAGE,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,2.113,0,0,1,0.3113,81867.06,1861
TXN_0000038,CLIENT_00248,MARCH_0008,2023-10-23 15:06:00,Monday,15,3032.09,DZD,VIREMENT,VOYAGE,Annaba,Algérie,Annaba,CARTE_PHYSIQUE,REUSSIE,0,NON,1.344,0,0,1,0.2344,12935.01,505
TXN_0000039,CLIENT_00428,MARCH_0038,2023-06-04 14:32:00,Sunday,14,6950.15,DZD,ACHAT_CARTE,PHARMACIE,Blida,Algérie,Blida,MOBILE_BANKING,REUSSIE,0,NON,0.492,0,0,0,0.1492,46576.28,3612
TXN_0000040,CLIENT_00482,MARCH_0188,2023-01-07 08:28:00,Saturday,8,10037.59,DZD,VIREMENT,VOYAGE,Oran,Algérie,Oran,MOBILE_BANKING,REUSSIE,0,NON,1.817,0,0,1,0.2817,35627.55,65
TXN_0000041,CLIENT_00489,MARCH_0134,2023-03-11 12:10:00,Saturday,12,12398.41,DZD,PAIEMENT_EN_LIGNE,ESSENCE,Constantine,Algérie,Constantine,MOBILE_BANKING,REUSSIE,0,NON,1.309,0,0,0,0.2309,53687.07,158
TXN_0000042,CLIENT_00559,MARCH_0090,2023-11-13 08:50:00,Monday,8,5011.24,DZD,PAIEMENT_FACTURE,IMMOBILIER,Oran,Algérie,Oran,INTERNET_BANKING,REUSSIE,0,NON,0.211,0,0,1,0.0789,63507.1,1121
TXN_0000043,CLIENT_00270,MARCH_0156,2023-01-27 09:12:00,Friday,9,6812.43,DZD,PAIEMENT_EN_LIGNE,SUPERMARCHE,Sétif,Algérie,Sétif,CARTE_PHYSIQUE,REUSSIE,0,NON,1.727,0,0,0,0.2727,24982.58,470
TXN_0000044,CLIENT_00996,MARCH_0076,2023-09-02 14:33:00,Saturday,14,13055.2,DZD,VIREMENT,RESTAURANT,Oran,Algérie,Oran,INTERNET_BANKING,REUSSIE,0,NON,1.676,0,0,0,0.2676,48792.98,1574
TXN_0000045,CLIENT_00491,MARCH_0089,2023-05-05 14:17:00,Friday,14,7445.77,DZD,PAIEMENT_FACTURE,VOYAGE,Alger,Algérie,Alger,INTERNET_BANKING,REUSSIE,0,NON,0.232,0,0,1,0.0768,97012.2,3542
TXN_0000046,CLIENT_00587,MARCH_0173,2023-02-01 12:08:00,Wednesday,12,6894.91,DZD,PAIEMENT_FACTURE,VOYAGE,Constantine,Algérie,Constantine,CARTE_PHYSIQUE,REUSSIE,0,NON,0.23,0,0,1,0.123,56037.24,509
TXN_0000047,CLIENT_00791,MARCH_0037,2023-02-15 10:29:00,Wednesday,10,9560.61,DZD,ACHAT_CARTE,VOYAGE,Oran,Algérie,Oran,INTERNET_BANKING,REUSSIE,0,NON,0.037,0,0,1,0.1037,92216.4,3316
TXN_0000048,CLIENT_00671,MARCH_0065,2023-09-07 15:59:00,Thursday,15,11179.44,DZD,ACHAT_CARTE,SUPERMARCHE,Batna,Algérie,Batna,INTERNET_BANKING,REUSSIE,0,NON,0.426,0,0,0,0.1426,78404.89,3426
TXN_0000049,CLIENT_00575,MARCH_0178,2023-01-14 12:27:00,Saturday,12,8520.55,DZD,ACHAT_CARTE,ELECTRONIQUE,Sétif,Algérie,Sétif,INTERNET_BANKING,REUSSIE,0,NON,1.863,0,0,1,0.2863,29760.2,854
TXN_0000050,CLIENT_00051,MARCH_0171,2023-12-09 19:11:00,Saturday,19,13174.76,DZD,ACHAT_CARTE,PHARMACIE,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,1.005,0,0,0,0.2005,65697.75,2522
TXN_0000051,CLIENT_00338,MARCH_0183,2023-11-27 09:46:00,Monday,9,16606.04,DZD,RETRAIT_DAB,ELECTRONIQUE,Oran,Algérie,Oran,CARTE_PHYSIQUE,ECHOUEE,0,NON,0.724,0,0,1,0.1724,96328.31,2068
TXN_0000052,CLIENT_00951,MARCH_0040,2023-04-05 15:44:00,Wednesday,15,5491.33,DZD,PAIEMENT_FACTURE,ESSENCE,Béjaïa,Algérie,Béjaïa,DAB,REUSSIE,0,NON,1.43,0,0,0,0.243,22596.93,2963
TXN_0000053,CLIENT_00204,MARCH_0193,2023-10-16 14:43:00,Monday,14,11550.53,DZD,ACHAT_CARTE,ELECTRONIQUE,Oran,Algérie,Oran,MOBILE_BANKING,REUSSIE,0,NON,1.948,0,0,1,0.2948,39175.94,2178
TXN_0000054,CLIENT_00091,MARCH_0166,2023-08-18 13:03:00,Friday,13,6423.52,DZD,RETRAIT_DAB,VOYAGE,Annaba,Algérie,Annaba,INTERNET_BANKING,REUSSIE,0,NON,0.709,0,0,1,0.1709,37579.96,741
TXN_0000055,CLIENT_00935,MARCH_0044,2023-07-15 09:55:00,Saturday,9,5420.39,DZD,VIREMENT,RESTAURANT,Béjaïa,Algérie,Béjaïa,DAB,REUSSIE,0,NON,1.537,0,0,0,0.2537,21364.7,1088
TXN_0000056,CLIENT_00856,MARCH_0101,2023-08-19 14:07:00,Saturday,14,6050.99,DZD,ACHAT_CARTE,HABILLEMENT,Blida,Algérie,Blida,INTERNET_BANKING,REUSSIE,0,NON,1.715,0,0,0,0.2715,22287.01,46
TXN_0000057,CLIENT_00296,MARCH_0009,2023-03-28 01:54:00,Tuesday,1,4527.31,DZD,ACHAT_CARTE,SUPERMARCHE,Oran,Algérie,Oran,AGENCE,REUSSIE,1,HEURE_NOCTURNE,0.832,1,0,0,0.1832,24711.51,2588
TXN_0000058,CLIENT_00656,MARCH_0139,2023-05-06 16:50:00,Saturday,16,10323.02,DZD,PAIEMENT_FACTURE,VOYAGE,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,0.798,0,0,1,0.1798,57427.62,531
TXN_0000059,CLIENT_00279,MARCH_0049,2023-03-19 19:40:00,Sunday,19,4880.37,DZD,ACHAT_CARTE,ELECTRONIQUE,Constantine,Algérie,Constantine,INTERNET_BANKING,REUSSIE,0,NON,0.81,0,0,1,0.181,26959.37,1886
TXN_0000060,CLIENT_00735,MARCH_0047,2023-02-19 17:13:00,Sunday,17,3268.87,DZD,ACHAT_CARTE,VOYAGE,Annaba,Algérie,Annaba,INTERNET_BANKING,REUSSIE,1,MONTANT_INHABITUEL,0.541,0,0,1,0.1541,21212.67,3322
TXN_0000061,CLIENT_00625,MARCH_0163,2023-09-11 16:30:00,Monday,16,2914.46,DZD,VIREMENT,HABILLEMENT,Blida,Algérie,Blida,MOBILE_BANKING,REUSSIE,0,NON,0.732,0,0,0,0.1732,16826.96,1027
TXN_0000062,CLIENT_00685,MARCH_0024,2023-03-30 16:30:00,Thursday,16,10628.64,DZD,ACHAT_CARTE,HABILLEMENT,Oran,Algérie,Oran,CARTE_PHYSIQUE,REUSSIE,0,NON,1.534,0,0,0,0.2534,41942.45,571
TXN_0000063,CLIENT_00267,MARCH_0098,2023-09-07 17:22:00,Thursday,17,3292.85,DZD,VIREMENT,HABILLEMENT,Béjaïa,Algérie,Béjaïa,AGENCE,REUSSIE,0,NON,1.249,0,0,0,0.2249,14638.19,3090
TXN_0000064,CLIENT_00740,MARCH_0146,2023-05-21 15:35:00,Sunday,15,3604.86,DZD,RETRAIT_DAB,PHARMACIE,Annaba,Algérie,Annaba,INTERNET_BANKING,REUSSIE,0,NON,0.933,0,0,0,0.1933,18651.92,1854
TXN_0000065,CLIENT_00121,MARCH_0119,2023-11-02 15:51:00,Thursday,15,3874.27,DZD,ACHAT_CARTE,HABILLEMENT,Constantine,Algérie,Constantine,MOBILE_BANKING,REUSSIE,0,NON,0.061,0,0,0,0.0939,41238.44,3498
TXN_0000066,CLIENT_00720,MARCH_0197,2023-07-07 10:56:00,Friday,10,12469.19,DZD,ACHAT_CARTE,ESSENCE,Alger,Algérie,Alger,DAB,REUSSIE,0,NON,0.787,0,0,0,0.1787,69781.24,2195
TXN_0000067,CLIENT_00629,MARCH_0056,2023-12-17 12:12:00,Sunday,12,6519.69,DZD,ACHAT_CARTE,IMMOBILIER,Blida,Algérie,Blida,CARTE_PHYSIQUE,REUSSIE,0,NON,1.077,0,0,1,0.2077,31396.82,827
TXN_0000068,CLIENT_00620,MARCH_0095,2023-12-15 08:22:00,Friday,8,10430.75,DZD,RETRAIT_DAB,PHARMACIE,Alger,Algérie,Alger,MOBILE_BANKING,REUSSIE,0,NON,1.212,0,0,0,0.2212,47148.34,482
TXN_0000069,CLIENT_00680,MARCH_0055,2023-03-09 13:33:00,Thursday,13,5961.4,DZD,RETRAIT_DAB,ELECTRONIQUE,Annaba,Algérie,Annaba,MOBILE_BANKING,REUSSIE,0,NON,1.779,0,0,1,0.2779,21449.19,1498
TXN_0000070,CLIENT_00538,MARCH_0114,2023-12-09 15:53:00,Saturday,15,4421.39,DZD,ACHAT_CARTE,VOYAGE,Blida,Algérie,Blida,DAB,REUSSIE,0,NON,1.446,0,0,1,0.2446,18075.08,2963
TXN_0000071,CLIENT_00848,MARCH_0140,2023-09-07 08:52:00,Thursday,8,6581.16,DZD,ACHAT_CARTE,ELECTRONIQUE,Blida,Algérie,Blida,MOBILE_BANKING,REUSSIE,0,NON,1.743,0,0,1,0.2743,23992.41,2936
TXN_0000072,CLIENT_00874,MARCH_0133,2023-09-04 16:47:00,Monday,16,5009.69,DZD,RETRAIT_DAB,ELECTRONIQUE,Batna,Algérie,Batna,INTERNET_BANKING,REUSSIE,0,NON,0.745,0,0,1,0.1745,28716.48,2974
TXN_0000073,CLIENT_00920,MARCH_0130,2023-08-09 14:14:00,Wednesday,14,5913.97,DZD,ACHAT_CARTE,HABILLEMENT,Annaba,Algérie,Annaba,CARTE_PHYSIQUE,REUSSIE,0,NON,1.402,0,0,0,0.2402,24619.34,224
TXN_0000074,CLIENT_00577,MARCH_0014,2023-04-10 13:59:00,Monday,13,5392.74,DZD,RETRAIT_DAB,SUPERMARCHE,Oran,Algérie,Oran,CARTE_PHYSIQUE,REUSSIE,0,NON,1.199,0,0,0,0.2199,24524.49,586
TXN_0000075,CLIENT_00260,MARCH_0000,2023-12-29 19:08:00,Friday,19,8240.52,DZD,RETRAIT_DAB,ELECTRONIQUE,Batna,Algérie,Batna,CARTE_PHYSIQUE,REUSSIE,0,NON,1.662,0,0,1,0.2662,30953.83,1817
TXN_0000076,CLIENT_00065,MARCH_0138,2023-09-13 19:11:00,Wednesday,19,4387.82,DZD,PAIEMENT_FACTURE,VOYAGE,Sétif,Algérie,Sétif,CARTE_PHYSIQUE,REUSSIE,0,NON,0.429,0,0,1,0.1429,30708.05,2210
TXN_0000077,CLIENT_00032,MARCH_0073,2023-11-02 19:52:00,Thursday,19,8602.57,DZD,VIREMENT,VOYAGE,Constantine,Algérie,Constantine,INTERNET_BANKING,ECHOUEE,0,NON,0.928,0,0,1,0.1928,44623.64,2589
TXN_0000078,CLIENT_00661,MARCH_0107,2023-05-12 16:22:00,Friday,16,4727.46,DZD,PAIEMENT_FACTURE,PHARMACIE,Alger,Algérie,Alger,MOBILE_BANKING,REUSSIE,0,NON,0.507,0,0,0,0.0493,95949.7,3185
TXN_0000079,CLIENT_00386,MARCH_0096,2023-04-19 14:16:00,Wednesday,14,15753.71,DZD,PAIEMENT_EN_LIGNE,SUPERMARCHE,Alger,Algérie,Alger,DAB,REUSSIE,0,NON,0.599,0,0,0,0.1599,98498.76,1252
TXN_0000080,CLIENT_00880,MARCH_0089,2023-03-20 08:11:00,Monday,8,9454.29,DZD,PAIEMENT_EN_LIGNE,VOYAGE,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,1.699,0,0,1,0.2699,35030.6,1090
TXN_0000081,CLIENT_00228,MARCH_0000,2023-01-17 20:47:00,Tuesday,20,16818.43,DZD,PAIEMENT_EN_LIGNE,ELECTRONIQUE,Alger,Algérie,Alger,MOBILE_BANKING,REUSSIE,0,NON,0.762,0,0,1,0.1762,95474.97,365
TXN_0000082,CLIENT_00434,MARCH_0136,2023-08-03 08:32:00,Thursday,8,5481.2,DZD,ACHAT_CARTE,RESTAURANT,Oran,Algérie,Oran,MOBILE_BANKING,REUSSIE,0,NON,0.17,0,0,0,0.083,66039.09,1904
TXN_0000083,CLIENT_00193,MARCH_0185,2023-09-26 08:45:00,Tuesday,8,4531.51,DZD,ACHAT_CARTE,SUPERMARCHE,Tlemcen,Algérie,Tlemcen,INTERNET_BANKING,REUSSIE,0,NON,0.233,0,0,0,0.1233,36755.06,315
TXN_0000084,CLIENT_00904,MARCH_0004,2023-03-28 17:03:00,Tuesday,17,9278.4,DZD,ACHAT_CARTE,SUPERMARCHE,Alger,Algérie,Alger,MOBILE_BANKING,REUSSIE,0,NON,0.06,0,0,0,0.106,87562.04,332
TXN_0000085,CLIENT_00688,MARCH_0180,2023-07-15 08:55:00,Saturday,8,3337.14,DZD,ACHAT_CARTE,HABILLEMENT,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,0.322,0,0,0,0.0678,49212.91,3052
TXN_0000086,CLIENT_00552,MARCH_0055,2023-09-03 10:18:00,Sunday,10,16766.4,DZD,VIREMENT,ELECTRONIQUE,Alger,Algérie,Alger,CARTE_PHYSIQUE,ECHOUEE,0,NON,2.011,0,0,1,0.3011,55682.45,786
TXN_0000087,CLIENT_00835,MARCH_0187,2023-09-03 18:16:00,Sunday,18,15266.97,DZD,RETRAIT_DAB,RESTAURANT,Oran,Algérie,Oran,INTERNET_BANKING,REUSSIE,0,NON,2.568,0,0,0,0.3568,42791.57,136
TXN_0000088,CLIENT_00242,MARCH_0077,2023-09-21 19:20:00,Thursday,19,7146.46,DZD,PAIEMENT_EN_LIGNE,ELECTRONIQUE,Constantine,Algérie,Constantine,MOBILE_BANKING,REUSSIE,0,NON,1.334,0,0,1,0.2334,30616.59,3092
TXN_0000089,CLIENT_00281,MARCH_0015,2023-12-16 13:27:00,Saturday,13,15174.11,DZD,RETRAIT_DAB,ELECTRONIQUE,Alger,Algérie,Alger,INTERNET_BANKING,REUSSIE,0,NON,0.807,0,0,1,0.1807,83972.16,1853
TXN_0000090,CLIENT_00695,MARCH_0109,2023-07-02 16:42:00,Sunday,16,4958.25,DZD,ACHAT_CARTE,HABILLEMENT,Annaba,Algérie,Annaba,CARTE_PHYSIQUE,REUSSIE,0,NON,1.709,0,0,0,0.2709,18305.18,994
TXN_0000091,CLIENT_00390,MARCH_0134,2023-03-22 13:52:00,Wednesday,13,6992.67,DZD,ACHAT_CARTE,ESSENCE,Mostaganem,Algérie,Mostaganem,CARTE_PHYSIQUE,REUSSIE,0,NON,0.667,0,0,0,0.1667,41942.17,1309
TXN_0000092,CLIENT_00772,MARCH_0137,2023-03-28 16:34:00,Tuesday,16,13987.2,DZD,VIREMENT,SUPERMARCHE,Alger,Algérie,Alger,CARTE_PHYSIQUE,REUSSIE,0,NON,1.559,0,0,0,0.2559,54654.61,1613
TXN_0000093,CLIENT_00825,MARCH_0118,2023-11-22 19:01:00,Wednesday,19,10977.82,DZD,RETRAIT_DAB,SUPERMARCHE,Oran,Algérie,Oran,AGENCE,REUSSIE,0,NON,1.266,0,0,0,0.2266,48451.25,318
TXN_0000094,CLIENT_00137,MARCH_0099,2023-10-17 13:16:00,Tuesday,13,5931.17,DZD,ACHAT_CARTE,ELECTRONIQUE,Blida,Algérie,Blida,MOBILE_BANKING,REUSSIE,0,NON,1.586,0,0,1,0.2586,22935.54,2114
TXN_0000095,CLIENT_00867,MARCH_0094,2023-11-16 20:23:00,Thursday,20,25422.1,DZD,VIREMENT,ELECTRONIQUE,Oran,Algérie,Oran,CARTE_PHYSIQUE,REUSSIE,0,NON,2.103,0,0,1,0.3103,81930.16,2544
TXN_0000096,CLIENT_00619,MARCH_0154,2023-09-12 16:32:00,Tuesday,16,6284.44,DZD,ACHAT_CARTE,ELECTRONIQUE,Alger,Algérie,Alger,INTERNET_BANKING,REUSSIE,0,NON,1.022,0,0,1,0.2022,31073.68,1521
TXN_0000097,CLIENT_00687,MARCH_0143,2023-08-15 09:00:00,Tuesday,9,19464.98,DZD,ACHAT_CARTE,HABILLEMENT,Alger,Algérie,Alger,DAB,REUSSIE,0,NON,0.309,0,0,0,0.1309,148683.69,396
TXN_0000098,CLIENT_00930,MARCH_0003,2023-04-28 12:04:00,Friday,12,7018.2,DZD,ACHAT_CARTE,IMMOBILIER,Alger,Algérie,Alger,INTERNET_BANKING,REUSSIE,0,NON,0.5,0,0,1,0.15,46791.36,1034
TXN_0000099,CLIENT_00772,MARCH_0122,2023-06-01 13:39:00,Thursday,13,11514.45,DZD,RETRAIT_DAB,PHARMACIE,Alger,Algérie,Alger,INTERNET_BANKING,REUSSIE,0,NON,1.107,0,0,0,0.2107,54654.61,1613
TXN_0000100,CLIENT_00245,MARCH_0141,2023-09-08 14:22:00,Friday,14,5076.35,DZD,ACHAT_CARTE,VOYAGE,Blida,Algérie,Blida,MOBILE_BANKING,REUSSIE,0,NON,1.598,0,0,1,0.2598,19542.04,561
